year,unit,gas,latitude,longitude,draw,value
207.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,639.5513531169374
208.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,639.7523683606388
209.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,639.9662280310479
210.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,640.1871213047992
211.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,640.3738845031828
212.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,640.5648357868129
213.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,640.7737510023851
214.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,641.01265138904
215.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,641.2361805537751
216.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,641.4451647788037
217.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,641.6629160684092
218.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,641.8893471999236
219.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,642.1005644286769
220.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,642.320124135983
221.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,642.470493863111
222.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,642.6313164908181
223.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,642.9076005093523
224.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,643.0220616711414
225.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,643.3324096355593
226.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,643.5585059266722
227.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,643.6804775409594
228.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,643.8873527566236
229.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,644.0970109563
230.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,644.4092133941526
231.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,644.5882563479845
232.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,644.7711720046568
233.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,644.9212958547582
234.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,645.0856999683433
235.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,645.1959762356416
236.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,645.3789638103974
237.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,645.5423630953668
238.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,645.7679121512647
239.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,645.9393903768249
240.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,646.0941784456131
241.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,646.2513695822543
242.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,646.3199500670819
243.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,646.4283052264482
244.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,646.5321471787488
245.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,646.7004826613493
246.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,646.7815875361318
247.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,646.8825986642139
248.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,646.9145996887803
249.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,647.0104148221711
250.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,647.064471520213
251.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,647.1043906450923
252.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,647.1302239080563
253.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,647.2067252955085
254.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,647.2929450853491
255.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,647.3845103770615
256.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,647.4783140280244
257.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,647.4802388628224
258.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,647.5043240553993
259.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,647.5328990222281
260.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,647.5698871377924
261.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,647.5381188461599
262.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,647.5572152674373
263.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,647.5693346687199
264.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,647.6224846441006
265.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,647.624483337996
266.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,647.6666617432634
267.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,647.6856818917718
268.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,647.7735686284296
269.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,647.7806133956117
270.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,647.7952855193461
271.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,647.7810670658666
272.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,647.8173041974502
273.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,647.8737269538638
274.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,647.887003326399
275.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,647.9015080253008
276.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,647.9215244963628
277.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,648.0000438105692
278.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,648.0422759997011
279.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,648.0355912527259
280.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,648.1795143567214
281.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,648.1736042586624
282.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,648.1867695357842
283.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,648.2356966385266
284.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,648.2011376781188
285.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,648.1761258925236
286.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,648.1348362019546
287.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,648.0767758822304
288.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,648.0743326142442
289.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,648.0602466101489
290.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,648.0108237676013
291.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,647.8836195799724
292.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,647.8709126774884
293.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,647.8027626982284
294.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,647.7698353163933
295.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,647.8075617712499
296.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,647.7165831371306
297.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,647.6447373904487
298.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,647.528178066972
299.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,647.454475903084
300.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,647.3428436558181
301.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,647.2529289157881
302.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,647.0298668199929
303.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,646.8519651814881
304.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,646.7575240738855
305.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,646.5797164555452
306.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,646.4801414022912
307.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,646.3382180319761
308.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,646.2014543866696
309.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,646.0693002282567
310.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,645.9169772934373
311.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,645.784329072729
312.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,645.6430860044588
313.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,645.4762268219479
314.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,645.3308145450071
315.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,645.1219952235026
316.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,644.9599361976541
317.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,644.7956916139858
318.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,644.6140563773679
319.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,644.450932506859
320.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,644.3050835234994
321.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,644.1344318370088
322.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,644.0058008721699
323.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,643.9270342769358
324.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,643.8403624594184
325.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,643.7230960006082
326.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,643.630374316499
327.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,643.5493484053662
328.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,643.4163731271819
329.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,643.28727004792
330.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,643.1320252998717
331.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,643.1192763887358
332.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,642.9809527461465
333.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,642.8296472683819
334.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,642.6992485459723
335.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,642.6723909351681
336.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,642.5901123050623
337.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,642.5946948116982
338.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,642.4658755540426
339.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,642.3066686080474
340.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,642.1702094679001
341.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,642.0789583112786
342.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,641.8985562582187
343.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,641.7244969262476
344.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,641.5435215272959
345.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,641.3332556524745
346.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,641.2899314576048
347.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,641.1548934949344
348.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,641.0273262352162
349.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,640.840590143255
350.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,640.6785412242475
351.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,640.5393353031986
352.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,640.4769769113581
353.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,640.3127355919221
354.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,640.2102744663222
355.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,640.018965277462
356.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,639.7168236162832
357.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,639.4972470284926
358.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,639.3832735971964
359.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,639.2746419333403
360.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,639.1021165856798
361.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,638.9194690481356
362.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,638.7716973444194
363.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,638.5485440483417
364.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,638.3962918208424
365.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,638.1803833366483
366.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,638.0450246891473
367.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,637.6899931493654
368.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,637.5149246600334
369.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,637.2095624746771
370.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,636.962696862787
371.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,636.6530778443614
372.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,636.4310362289921
373.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,636.2948914185706
374.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,635.969157676978
375.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,635.8900748781111
376.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,635.4944161105964
377.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,635.2206158676793
378.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,634.991542888723
379.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,634.7763122958949
380.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,634.5619604829997
381.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,634.37679151207
382.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,634.2297571685388
383.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,634.0253709196342
384.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,633.8845916434061
385.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,633.6957877557027
386.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,633.5505631872476
387.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,633.3492393151365
388.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,633.1960981816616
389.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,633.0169361655257
390.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,632.8915471004946
391.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,632.749266080154
392.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,632.58861570135
393.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,632.4753076150748
394.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,632.3583616720409
395.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,632.2615921422264
396.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,632.1506066434747
397.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,632.0424896341781
398.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,631.9664317726263
399.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,631.8286384777412
400.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,631.7476051616155
401.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,631.6277983019884
402.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,631.5477382273963
403.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,631.4194867347829
404.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,631.3371606547903
405.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,631.2447178302223
406.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,631.1763021940449
407.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,631.0864363270271
408.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,630.9616365850072
409.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,630.8612558990785
410.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,630.7581413067844
411.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,630.6818663396336
412.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,630.5960138143275
413.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,630.534335669652
414.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,630.4729542732034
415.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,630.3968317157764
416.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,630.3156071730965
417.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,630.2364149881871
418.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,630.1235930958842
419.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,630.0759465537672
420.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,630.0655807845978
421.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,630.0650300608615
422.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,630.052476518754
423.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,630.0303769356647
424.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,630.0328718033096
425.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,630.0575771329561
426.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,630.1090332351403
427.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,630.1554335582116
428.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,630.1399694759809
429.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,630.1044750868931
430.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,630.0810785917765
431.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,630.1205802795077
432.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,630.1718211787522
433.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,630.2210271105849
434.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,630.289321294222
435.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,630.3580515741887
436.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,630.4115285901373
437.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,630.4942313634022
438.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,630.5858570220071
439.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,630.6643189178086
440.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,630.7396335193991
441.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,630.9978565751269
442.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,631.2449293879305
443.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,631.3200902130413
